iter	Passed	Remaining
660	3440	1764
661	3444	1758
662	3449	1753
663	3452	1747
664	3457	1741
665	3461	1735
666	3477	1736
667	3481	1730
668	3485	1724
669	3490	1719
670	3505	1719
671	3521	1718
672	3526	1713
673	3531	1708
674	3568	1717
675	3572	1712
676	3577	1706
677	3582	1701
678	3586	1695
679	3591	1689
680	3595	1684
681	3600	1678
682	3604	1673
683	3607	1666
684	3610	1660
685	3614	1654
686	3618	1648
687	3622	1642
688	3627	1637
689	3632	1631
690	3636	1626
691	3641	1620
692	3645	1614
693	3649	1609
694	3654	1603
695	3674	1604
696	3678	1599
697	3682	1593
698	3688	1588
699	3692	1582
700	3697	1577
701	3702	1571
702	3706	1565
703	3709	1559
704	3714	1554
705	3719	1548
706	3724	1543
707	3729	1538
708	3734	1532
709	3739	1527
710	3743	1521
711	3747	1516
712	3753	1510
713	3757	1505
714	3762	1499
715	3767	1494
716	3771	1488
717	3775	1482
718	3780	1477
719	3808	1481
720	3824	1479
721	3829	1474
722	3834	1469
723	3837	1462
724	3841	1457
725	3846	1451
726	3851	1446
727	3856	1440
728	3861	1435
729	3866	1429
730	3871	1424
731	3873	1418
732	3878	1412
733	3883	1407
734	3887	1401
735	3892	1396
736	3896	1390
737	3901	1385
738	3905	1379
739	3910	1373
740	3915	1368
741	3920	1363
742	3926	1358
743	3931	1352
744	3933	1346
745	3938	1340
746	3942	1335
747	3946	1329
748	3951	1324
749	3954	1318
750	3958	1312
751	3963	1307
752	3965	1300
753	3970	1295
754	3974	1289
755	3977	1283
756	3982	1278
757	3985	1272
758	3988	1266
759	3993	1260
760	3997	1255
761	4002	1250
762	4005	1244
763	4010	1238
764	4015	1233
765	4020	1228
766	4025	1222
767	4028	1216
768	4032	1211
769	4035	1205
770	4039	1199
771	4044	1194
772	4048	1188
773	4053	1183
774	4058	1178
775	4062	1172
776	4067	1167
777	4069	1161
778	4072	1155
779	4078	1150
780	4108	1152
781	4114	1146
782	4120	1141
783	4126	1136
784	4131	1131
785	4136	1126
786	4142	1121
787	4148	1115
788	4153	1110
789	4168	1107
790	4173	1102
791	4178	1097
792	4183	1092
793	4189	1086
794	4194	1081
795	4198	1076
796	4206	1071
797	4214	1066
798	4222	1062
799	4227	1056
800	4232	1051
801	4239	1046
802	4244	1041
803	4248	1035
804	4255	1030
805	4279	1029
806	4287	1025
807	4297	1021
808	4305	1016
809	4311	1011
810	4320	1006
811	4326	1001
812	4332	996
813	4337	991
814	4342	985
815	4350	981
816	4357	976
817	4363	970
818	4368	965
819	4372	959
820	4377	954
821	4383	949
822	4386	943
823	4391	937
824	4397	932
825	4403	927
826	4412	923
827	4419	918
828	4424	912
829	4431	907
830	4441	903
831	4444	897
832	4450	892
833	4455	886
834	4461	881
835	4467	876
836	4472	870
837	4478	865
838	4484	860
839	4489	855
840	4495	849
841	4499	844
842	4504	838
843	4517	834
844	4522	829
845	4527	824
846	4532	818
847	4535	813
848	4540	807
849	4545	802
850	4549	796
851	4554	791
852	4559	785
853	4564	780
854	4568	774
855	4573	769
856	4578	764
857	4582	758
858	4587	753
859	4593	747
860	4598	742
861	4603	737
862	4609	731
863	4615	726
864	4621	721
865	4626	715
866	4630	710
867	4636	705
868	4641	699
869	4646	694
870	4651	688
871	4657	683
872	4662	678
873	4667	672
874	4680	668
875	4684	663
876	4696	658
877	4701	653
878	4704	647
879	4711	642
880	4716	637
881	4726	632
882	4729	626
883	4734	621
884	4739	615
885	4744	610
886	4750	605
887	4756	599
888	4761	594
889	4767	589
890	4773	583
891	4778	578
892	4784	573
893	4789	567
894	4793	562
895	4800	557
896	4805	551
897	4810	546
898	4817	541
899	4822	535
900	4827	530
901	4849	526
902	4853	521
903	4858	515
904	4863	510
905	4869	505
906	4874	499
907	4879	494
908	4884	489
909	4889	483
910	4893	478
911	4898	472
912	4904	467
913	4909	461
914	4914	456
915	4918	451
916	4923	445
917	4928	440
918	4932	434
919	4937	429
920	4942	423
921	4947	418
922	4952	413
923	4957	407
924	4962	402
925	4967	396
926	4971	391
927	4976	386
928	4981	380
929	4986	375
930	4991	369
931	4996	364
932	5001	359
933	5006	353
934	5010	348
935	5015	342
936	5020	337
937	5025	332
938	5030	326
939	5035	321
940	5040	316
941	5045	310
942	5050	305
943	5055	299
944	5060	294
945	5065	289
946	5070	283
947	5075	278
948	5079	272
949	5084	267
950	5089	262
951	5094	256
952	5098	251
953	5104	246
954	5108	240
955	5113	235
956	5117	229
957	5122	224
958	5127	219
959	5132	213
960	5136	208
961	5141	203
962	5146	197
963	5151	192
964	5155	186
965	5160	181
966	5164	176
967	5169	170
968	5174	165
969	5179	160
970	5184	154
971	5195	149
972	5200	144
973	5204	138
974	5208	133
975	5213	128
976	5218	122
977	5223	117
978	5227	112
979	5232	106
980	5236	101
981	5241	96
982	5245	90
983	5250	85
984	5254	80
985	5258	74
986	5263	69
987	5267	63
988	5272	58
989	5277	53
990	5282	47
991	5286	42
992	5291	37
993	5296	31
994	5301	26
995	5305	21
996	5310	15
997	5315	10
998	5319	5
999	5324	0
